Air-SENSE device,1715704219,28.05,63.71,100697.09,25,42,43
Air-SENSE device,1715704220,28.06,63.70,100697.66,26,42,42
Air-SENSE device,1715704221,28.05,63.71,100694.78,25,41,41
Air-SENSE device,1715704222,28.06,63.71,100699.02,25,41,41
Air-SENSE device,1715704223,28.05,63.70,100695.89,25,39,40
Air-SENSE device,1715704224,28.05,63.71,100695.47,25,39,40
Air-SENSE device,1715704225,28.05,63.70,100698.20,26,38,39
Air-SENSE device,1715704226,28.05,63.70,100697.78,25,38,38
Air-SENSE device,1715704227,28.05,63.70,100696.84,25,38,38
Air-SENSE device,1715704228,28.05,63.71,100696.84,25,38,39
Air-SENSE device,1715704274,27.96,63.85,100700.36,24,39,41
Air-SENSE device,1715704275,27.95,63.85,100699.08,23,38,41
Air-SENSE device,1715704276,27.95,63.87,100698.40,23,39,42
Air-SENSE device,1715704277,27.95,63.89,100699.77,24,40,43
Air-SENSE device,1715704278,27.94,63.89,100698.78,24,39,42
Air-SENSE device,1715704279,27.94,63.90,100697.41,24,40,43
Air-SENSE device,1715704280,27.93,63.91,100697.25,24,40,42
Air-SENSE device,1715704281,27.93,63.93,100699.98,24,40,42
Air-SENSE device,1715704282,27.93,63.93,100702.04,24,40,42
Air-SENSE device,1715704283,27.93,63.93,100697.51,24,40,42
Air-SENSE device,1715704284,27.93,63.96,100701.19,24,39,40
Air-SENSE device,1715704285,27.93,63.96,100699.81,24,39,40
Air-SENSE device,1715704286,27.93,63.96,100699.56,25,39,39
Air-SENSE device,1715704287,27.92,63.98,100697.17,25,39,39
Air-SENSE device,1715704288,27.92,63.96,100700.59,25,38,39
Air-SENSE device,1715704289,27.92,63.97,100698.80,25,38,39
Air-SENSE device,1715704290,27.92,63.99,100697.17,25,38,38
Air-SENSE device,1715704291,27.91,63.99,100698.67,25,38,38
Air-SENSE device,1715704292,27.92,64.00,100699.09,25,38,38
Air-SENSE device,1715704293,27.91,64.01,100699.35,26,40,40
Air-SENSE device,1715704294,27.91,64.02,100699.88,26,40,40
Air-SENSE device,1715704295,27.90,64.02,100700.39,26,40,40
Air-SENSE device,1715704296,27.90,64.03,100699.70,27,40,41
Air-SENSE device,1715704297,27.90,64.03,100698.85,27,40,41
Air-SENSE device,1715704298,27.89,64.05,100696.50,27,42,42
Air-SENSE device,1715704299,27.88,64.05,100697.70,27,43,43
Air-SENSE device,1715704300,27.88,64.06,100694.54,25,44,44
Air-SENSE device,1715704302,27.89,64.08,100693.34,25,44,44
Air-SENSE device,1715704303,27.87,64.21,100698.34,25,44,45
